filename,global
201800169.json,92.60214200714002
201800170.json,92.48327430145612
201800171.json,92.5043919578372
201800172.json,92.33597832397909
201800173.json,92.32992869531702
201800174.json,92.29142637447136
201800175.json,92.2649818112196
201800176.json,92.29301793208698
201800177.json,92.29889439573007
201800178.json,92.25085259568017
201800179.json,92.24659606656581
201800180.json,92.26706903055451
201800181.json,91.93368107302533
201800182.json,91.94118741857436
201800183.json,91.91394658753708
201800184.json,91.9154459484517
201800185.json,91.93339500462535
201800186.json,91.82366928845802
201800187.json,91.74429223744292
201800188.json,91.75031940135061
201800189.json,91.71823807790317
201800190.json,91.7617237008872
201800191.json,91.65462427745665
201800192.json,91.78520625889047
201800193.json,91.83023872679044
201800194.json,91.6931216931217
201800195.json,91.66372929150512
201800196.json,91.67839549612948
201800197.json,91.5910676901605
201800198.json,91.61178509532061
201800199.json,91.56417807032739
201800200.json,91.57147802007614
201800201.json,91.51693158258466
201800202.json,91.52136752136752
201800203.json,91.53294639808809
201800204.json,91.49948996939816
201800205.json,91.45328132948957
201800206.json,91.47208121827411
201800207.json,91.44204851752022
201800208.json,91.4644351464435
201800209.json,91.3050706566916
201800210.json,91.24573656001299
201800211.json,91.08138238573021
201800212.json,91.28540305010894
201800213.json,91.06951051097131
201800214.json,91.09410864575364
201800215.json,91.05591954898674
201800216.json,91.0527115296977
201800217.json,91.03980626608143
201800218.json,91.09774436090225
201800219.json,90.87923570682192
201800220.json,90.88069027075275
201800221.json,90.96935769004125
201800222.json,90.9037730330506
201800223.json,90.9037730330506
201800224.json,90.84025047327799
201800225.json,90.89461493920092
201800226.json,90.87759815242494
201800227.json,90.87113030957524
201800228.json,90.9038737446198
201800229.json,90.93119725361178
201800230.json,90.80590238365494
201800231.json,90.84487143260807
201800232.json,90.79244218838127
201800233.json,90.81187561559027
201800234.json,90.86074177746676
201800235.json,90.88505427219594
201800236.json,90.87373246284206
201800237.json,90.80221300138312
201800238.json,90.83011583011583
201800239.json,90.15476654961634
201800240.json,90.0142284309921
201800241.json,90.0577293136626
201800242.json,90.05638134290108
201800243.json,90.05997192803369
201800244.json,89.97076395068005
201800245.json,89.9619771863118
201800246.json,89.96841440303221
201800247.json,89.94829108336486
201800248.json,89.94082840236686
201800249.json,89.90963855421687
