filename,newness
201800084.json,73.54581673306772
201800085.json,73.58790771678599
201800086.json,73.58790771678599
201800087.json,73.65079365079366
201800088.json,73.5248447204969
201800089.json,73.5248447204969
201800090.json,73.50890782339272
201800091.json,73.67205542725173
201800092.json,73.76425855513308
201800093.json,73.72817008352315
201800094.json,73.6563209689629
201800095.json,73.56927710843374
201800096.json,73.60902255639098
201800097.json,73.40823970037454
201800098.json,73.38289962825279
201800099.json,73.3679525222552
201800100.json,73.3679525222552
201800101.json,73.33333333333333
201800102.json,73.29881656804734
201800103.json,73.4065934065934
201800104.json,73.48871085214857
201800105.json,73.43522561863173
201800106.json,73.42047930283225
201800107.json,73.49746560463433
201800108.json,73.49746560463433
201800109.json,73.53579175704989
201800110.json,73.62869198312237
201800111.json,73.48329925017042
201800112.json,73.38764426340802
201800113.json,73.41430499325237
201800114.json,73.4448160535117
201800115.json,73.46256684491979
201800116.json,73.45309381237524
201800117.json,73.45639719923615
201800118.json,73.43358395989975
201800119.json,73.42007434944237
201800120.json,73.81530984204132
201800121.json,73.7864077669903
201800122.json,73.95209580838323
201800123.json,73.95709177592373
201800124.json,73.94658753709199
201800125.json,73.79553466509988
201800126.json,73.69654364381957
201800127.json,73.40085287846482
201800128.json,73.43503419253025
201800129.json,73.48326359832636
201800130.json,73.68166424770199
201800131.json,73.70441458733205
201800132.json,73.79474940334129
201800133.json,73.78864790032303
201800134.json,73.81281696634395
201800135.json,73.79087977890373
201800136.json,73.7299771167048
201800137.json,73.60730593607306
201800138.json,73.51203998182643
201800139.json,73.57207615593835
201800140.json,73.62240289069557
201800141.json,73.7594993294591
201800142.json,73.43336275375111
201800143.json,73.45950704225352
201800144.json,73.45248474280733
201800145.json,73.47560975609755
201800146.json,73.48715716151501
201800147.json,73.501303214596
201800148.json,73.53579175704989
201800149.json,73.49501948895626
201800150.json,73.34479793637145
201800151.json,73.34472447671935
201800152.json,73.41504649196958
201800153.json,73.5708367854184
201800154.json,73.6168455821635
201800155.json,73.63225010283834
201800156.json,73.62366474938374
201800157.json,73.63896848137536
201800158.json,73.69274422375355
201800159.json,73.72675828617623
201800160.json,73.78171566653242
201800161.json,73.73050779688126
201800162.json,73.81615598885793
201800163.json,73.9612188365651
201800164.json,73.98341887090407
201800165.json,74.10575427682737
201800166.json,74.16249518675396
201800167.json,74.35610302351624
201800168.json,74.37985931136616
201800169.json,73.94265232974911
201800170.json,73.91767210787793
201800171.json,73.85804638088545
201800172.json,73.8466874783212
201800173.json,73.89807162534436
201800174.json,73.9622641509434
201800175.json,73.96651861974718
201800176.json,73.9972807613868
201800177.json,73.98981324278438
201800178.json,73.98785425101214
201800179.json,73.97306397306397
201800180.json,73.86782958738678
201800181.json,73.62528811326968
201800182.json,73.65131578947368
201800183.json,73.6479842674533
201800184.json,73.65661861074705
201800185.json,73.74065648358791
201800186.json,73.81864623243933
201800187.json,73.80497131931166
201800188.json,73.83831954169318
201800189.json,73.88130752142177
201800190.json,73.7870195337114
201800191.json,73.6346516007533
201800192.json,73.90772991139627
201800193.json,73.76899696048632
201800194.json,73.7511353315168
201800195.json,73.78288478983973
201800196.json,73.76999698158768
201800197.json,73.91564463057134
201800198.json,73.91046546101393
201800199.json,73.90402843601895
201800200.json,73.85388938183969
201800201.json,73.84887839433294
201800202.json,73.76811594202898
201800203.json,73.79988432620011
201800204.json,73.74173137762439
201800205.json,73.59518348623854
201800206.json,73.62103458130895
