order,cited_count,global,cluster
85,44,81.81818181818183,0
86,44,79.54545454545455,0
87,43,65.11627906976744,0
88,43,83.72093023255815,0
89,43,69.76744186046511,0
90,43,81.3953488372093,0
91,43,48.837209302325576,0
92,43,55.81395348837209,0
93,42,66.66666666666666,0
94,42,71.42857142857143,0
95,41,58.53658536585365,0
96,41,68.29268292682927,0
97,41,73.17073170731707,0
98,41,58.53658536585365,0
99,40,62.5,0
100,40,72.5,0
101,39,69.23076923076923,0
102,39,64.1025641025641,0
103,38,28.947368421052637,1
104,38,76.31578947368422,0
105,38,71.05263157894737,0
106,38,86.8421052631579,0
107,38,81.57894736842105,0
108,37,59.45945945945946,0
109,37,72.97297297297297,0
110,37,81.08108108108108,0
111,37,75.67567567567568,0
112,37,83.78378378378379,0
113,37,62.16216216216216,0
114,37,78.37837837837837,0
115,37,67.56756756756756,0
116,36,80.55555555555556,0
117,36,86.11111111111111,0
118,36,88.88888888888889,0
119,36,61.11111111111112,0
120,36,77.77777777777779,0
121,36,55.55555555555556,0
122,36,75.0,0
123,35,82.85714285714286,0
124,35,80.0,0
125,35,48.57142857142857,0
126,35,74.28571428571429,0
127,35,42.85714285714285,0
128,35,60.0,0
129,34,52.94117647058824,0
130,34,55.88235294117647,0
131,34,91.17647058823528,0
132,34,55.88235294117647,0
133,33,63.63636363636363,0
134,33,66.66666666666666,0
135,33,72.72727272727273,0
136,33,72.72727272727273,0
137,33,66.66666666666666,0
138,33,72.72727272727273,0
139,33,66.66666666666666,0
140,32,75.0,0
141,32,75.0,0
142,32,81.25,0
143,32,62.5,0
144,32,59.375,0
145,32,93.75,0
146,32,62.5,0
147,32,62.5,0
148,32,68.75,0
149,31,74.19354838709677,0
150,31,80.64516129032258,0
151,31,83.87096774193549,0
152,31,70.96774193548387,0
153,31,70.96774193548387,0
154,31,74.19354838709677,0
155,31,74.19354838709677,0
156,31,80.64516129032258,0
157,31,83.87096774193549,0
158,31,54.83870967741935,0
159,30,73.33333333333333,0
160,30,56.66666666666666,0
161,30,63.33333333333333,0
162,30,76.66666666666667,0
163,30,83.33333333333334,0
164,29,82.75862068965517,0
165,29,51.72413793103448,0
166,29,82.75862068965517,0
167,29,48.27586206896552,0
168,29,75.86206896551724,0
169,28,75.0,0
170,28,64.28571428571429,0
171,28,78.57142857142857,0
172,28,64.28571428571429,0
173,27,92.5925925925926,0
174,27,74.07407407407408,0
175,27,48.14814814814815,0
176,27,48.14814814814815,0
177,27,92.5925925925926,0
178,27,62.96296296296296,0
179,26,80.76923076923077,0
180,26,92.3076923076923,0
181,26,61.53846153846154,0
182,26,69.23076923076923,0
183,26,61.53846153846154,0
184,26,57.692307692307686,0
185,26,80.76923076923077,0
186,25,80.0,0
187,25,76.0,0
188,25,40.0,0
189,25,64.0,0
190,25,60.0,0
191,25,84.0,0
192,25,64.0,0
193,25,68.0,0
194,25,60.0,0
195,25,56.00000000000001,0
196,25,64.0,0
197,24,79.16666666666666,0
