order,cited_count,global,cluster
99,40,71.73913043478261,0
100,40,100.0,0
101,39,100.0,0
102,39,85.36585365853658,0
103,38,100.0,0
104,38,84.0909090909091,0
105,38,94.73684210526316,0
106,38,48.07692307692308,0
107,38,90.9090909090909,0
108,37,67.46987951807229,0
109,37,72.72727272727273,0
110,37,93.22033898305084,0
111,37,91.8918918918919,0
112,37,100.0,0
113,37,82.85714285714286,0
114,37,100.0,0
115,37,69.44444444444444,0
116,36,95.1219512195122,0
117,36,93.5483870967742,0
118,36,93.93939393939394,0
119,36,94.82758620689656,0
120,36,100.0,0
121,36,89.0909090909091,0
122,36,90.74074074074076,0
123,35,89.36170212765957,0
124,35,100.0,0
125,35,70.83333333333334,0
126,35,80.0,0
127,35,100.0,0
128,35,76.66666666666667,0
129,34,65.78947368421053,0
130,34,84.61538461538461,0
131,34,73.68421052631578,0
132,34,100.0,0
133,33,100.0,0
134,33,88.88888888888889,0
135,33,93.10344827586206,0
136,33,90.2439024390244,0
137,33,92.3076923076923,0
138,33,88.57142857142857,0
139,33,100.0,0
140,32,89.74358974358975,0
141,32,67.5,0
142,32,80.0,0
143,32,100.0,0
144,32,86.11111111111111,0
145,32,100.0,0
146,32,100.0,0
147,32,92.3076923076923,0
148,32,70.96774193548387,0
149,31,93.5483870967742,0
150,31,90.9090909090909,0
151,31,100.0,0
152,31,100.0,0
153,31,93.93939393939394,0
154,31,75.86206896551724,0
155,31,83.87096774193549,0
156,31,78.78787878787878,0
157,31,86.48648648648648,0
158,31,100.0,0
159,30,100.0,0
160,30,88.88888888888889,0
161,30,86.66666666666667,0
162,30,90.0,0
163,30,88.88888888888889,0
164,29,100.0,0
165,29,82.35294117647058,0
166,29,62.5,0
167,29,94.5945945945946,0
168,29,100.0,0
169,28,55.88235294117647,0
170,28,100.0,0
171,28,76.0,0
172,28,79.54545454545455,0
173,27,100.0,0
174,27,91.66666666666666,0
175,27,79.3103448275862,0
176,27,79.48717948717949,0
177,27,100.0,0
178,27,61.76470588235294,0
179,26,0.0,1
180,26,60.71428571428571,0
181,26,100.0,0
182,26,92.0,0
183,26,80.76923076923077,0
184,26,73.07692307692307,0
185,26,36.66666666666666,1
186,25,82.75862068965517,0
187,25,96.0,0
188,25,100.0,0
189,25,88.88888888888889,0
190,25,100.0,0
191,25,100.0,0
192,25,89.65517241379311,0
193,25,48.14814814814815,0
194,25,67.74193548387096,0
195,25,89.65517241379311,0
196,25,90.47619047619048,0
197,24,76.92307692307693,0
198,24,90.47619047619048,0
199,24,76.92307692307693,0
200,24,96.42857142857144,0
201,24,86.66666666666667,0
202,24,100.0,0
203,24,100.0,0
204,24,0.0,1
205,24,90.9090909090909,0
206,24,76.66666666666667,0
207,24,100.0,0
208,23,78.26086956521739,0
209,23,51.51515151515152,0
210,23,68.0,0
211,23,100.0,0
212,23,93.10344827586206,0
213,23,65.51724137931035,0
214,23,100.0,0
215,23,79.41176470588235,0
216,23,59.375,0
217,23,78.82352941176471,0
218,23,85.71428571428571,0
219,23,67.85714285714286,0
220,23,100.0,0
221,23,90.9090909090909,0
222,23,80.76923076923077,0
223,23,88.88888888888889,0
224,22,82.6086956521739,0
225,22,100.0,0
226,22,85.71428571428571,0
227,22,100.0,0
228,22,80.0,0
229,22,100.0,0
230,22,62.96296296296296,0
231,22,50.0,0
232,21,100.0,0
233,21,69.56521739130434,0
234,21,100.0,0
235,21,84.375,0
236,21,100.0,0
237,21,100.0,0
238,21,89.65517241379311,0
239,21,100.0,0
240,21,48.14814814814815,0
241,21,83.33333333333334,0
242,21,86.95652173913044,0
243,21,51.72413793103448,0
244,21,100.0,0
245,21,75.0,0
246,21,100.0,0
247,20,70.0,0
248,20,71.875,0
249,20,100.0,0
250,20,80.0,0
251,20,95.65217391304348,0
252,20,54.54545454545454,0
253,20,60.0,0
254,20,75.0,0
255,20,76.92307692307693,0
256,19,100.0,0
257,19,86.36363636363636,0
258,19,73.68421052631578,0
259,19,100.0,0
260,19,65.38461538461539,0
261,19,100.0,0
262,19,86.36363636363636,0
263,19,75.0,0
264,19,78.125,0
265,19,84.61538461538461,0
266,19,100.0,0
267,19,83.72093023255815,0
268,19,82.75862068965517,0
269,19,78.94736842105263,0
270,19,96.15384615384616,0
271,19,95.65217391304348,0
272,19,90.0,0
273,19,70.0,0
274,19,52.63157894736842,0
275,19,40.909090909090914,1
276,19,100.0,0
277,19,66.66666666666666,0
278,19,81.08108108108108,0
279,18,88.88888888888889,0
280,18,84.61538461538461,0
281,18,75.0,0
282,18,75.0,0
283,18,77.27272727272727,0
284,18,78.26086956521739,0
285,18,65.21739130434783,0
286,18,90.9090909090909,0
287,18,88.23529411764706,0
288,18,82.6086956521739,0
289,18,85.0,0
290,18,100.0,0
