order,cited_count,year,subject,country
21,80,"['2024~20', '2023~19', '2022~20', '2021~4', '2020~14', '2019~3']","['Materials Science~38', 'Chemistry~30', 'Chemical Engineering~29', 'Engineering~17', 'Environmental Science~17', 'Business, Management and Accounting~10', 'Energy~10', 'Agricultural and Biological Sciences~5', 'Physics and Astronomy~5', 'Biochemistry, Genetics and Molecular Biology~4']","['China~31', 'South Korea~11', 'India~8', 'Austria~7', 'Bangladesh~5', 'United States~5', 'Thailand~4', 'Czech Republic~3', 'Saudi Arabia~3', 'Turkey~3']"
22,79,"['2024~15', '2023~14', '2022~14', '2021~15', '2020~13', '2019~7', '2018~1']","['Agricultural and Biological Sciences~68', 'Biochemistry, Genetics and Molecular Biology~31', 'Environmental Science~15', 'Immunology and Microbiology~4', 'Chemical Engineering~3', 'Computer Science~3', 'Multidisciplinary~3', 'Chemistry~2', 'Earth and Planetary Sciences~2', 'Engineering~2']","['China~19', 'India~14', 'Thailand~14', 'Egypt~8', 'Pakistan~7', 'United States~5', 'Bangladesh~4', 'Brazil~4', 'Australia~3', 'Iran~3']"
23,79,"['2025~2', '2024~14', '2023~17', '2022~12', '2021~14', '2020~15', '2019~4', '2018~1']","['Chemical Engineering~43', 'Energy~36', 'Chemistry~26', 'Engineering~14', 'Environmental Science~13', 'Materials Science~11', 'Mathematics~4', 'Agricultural and Biological Sciences~3', 'Biochemistry, Genetics and Molecular Biology~3', 'Earth and Planetary Sciences~1']","['China~26', 'Malaysia~19', 'Thailand~10', 'Brazil~5', 'Indonesia~5', 'United Kingdom~5', 'United States~5', 'Australia~4', 'Canada~4', 'Iraq~3']"
24,76,"['2024~8', '2023~9', '2022~16', '2021~18', '2020~16', '2019~7', '2018~2']","['Chemical Engineering~28', 'Environmental Science~26', 'Energy~25', 'Engineering~17', 'Agricultural and Biological Sciences~16', 'Biochemistry, Genetics and Molecular Biology~12', 'Computer Science~12', 'Materials Science~10', 'Chemistry~8', 'Immunology and Microbiology~7']","['Thailand~33', 'Malaysia~17', 'India~13', 'China~12', 'Taiwan~10', 'Brazil~5', 'Australia~3', 'Indonesia~3', 'Turkey~3', 'Canada~2']"
25,75,"['2025~5', '2024~12', '2023~17', '2022~19', '2021~13', '2020~5', '2019~4']","['Chemistry~31', 'Materials Science~27', 'Agricultural and Biological Sciences~24', 'Biochemistry, Genetics and Molecular Biology~22', 'Chemical Engineering~14', 'Engineering~8', 'Pharmacology, Toxicology and Pharmaceutics~7', 'Physics and Astronomy~6', 'Energy~5', 'Environmental Science~5']","['China~13', 'Thailand~10', 'Brazil~9', 'Poland~8', 'South Korea~7', 'Egypt~5', 'India~5', 'Turkey~5', 'United States~5', 'Malaysia~4']"
26,71,"['2024~16', '2023~16', '2022~12', '2021~16', '2020~7', '2019~3', '2018~1']","['Biochemistry, Genetics and Molecular Biology~31', 'Agricultural and Biological Sciences~24', 'Pharmacology, Toxicology and Pharmaceutics~24', 'Medicine~20', 'Chemistry~10', 'Neuroscience~9', 'Nursing~7', 'Chemical Engineering~6', 'Immunology and Microbiology~5', 'Computer Science~3']","['China~17', 'Thailand~13', 'India~9', 'Iran~8', 'Brazil~4', 'Italy~4', 'South Korea~4', 'Algeria~3', 'Egypt~3', 'Turkey~3']"
27,69,"['2024~14', '2023~14', '2022~11', '2021~16', '2020~9', '2019~4', '2018~1']","['Medicine~29', 'Agricultural and Biological Sciences~14', 'Environmental Science~14', 'Immunology and Microbiology~13', 'Social Sciences~12', 'Veterinary~12', 'Multidisciplinary~6', 'Biochemistry, Genetics and Molecular Biology~5', 'Arts and Humanities~1', 'Business, Management and Accounting~1']","['United States~16', 'France~12', 'Italy~10', 'United Kingdom~9', 'Ireland~7', 'Spain~7', 'Australia~6', 'Brazil~5', 'China~5', 'Germany~5']"
28,69,"['2024~20', '2023~13', '2022~11', '2021~8', '2020~9', '2019~5', '2018~3']","['Environmental Science~41', 'Agricultural and Biological Sciences~32', 'Energy~10', 'Engineering~9', 'Chemical Engineering~8', 'Chemistry~7', 'Biochemistry, Genetics and Molecular Biology~6', 'Earth and Planetary Sciences~6', 'Materials Science~5', 'Computer Science~4']","['China~28', 'Canada~6', 'United States~6', 'Italy~5', 'Thailand~5', 'Australia~4', 'Belgium~4', 'Brazil~4', 'France~4', 'Greece~4']"
29,68,"['2025~2', '2024~13', '2023~11', '2022~15', '2021~7', '2020~10', '2019~9', '2018~1']","['Biochemistry, Genetics and Molecular Biology~41', 'Chemical Engineering~27', 'Immunology and Microbiology~27', 'Engineering~14', 'Materials Science~11', 'Agricultural and Biological Sciences~10', 'Medicine~9', 'Chemistry~7', 'Environmental Science~5', 'Physics and Astronomy~4']","['China~44', 'India~8', 'United States~6', 'Spain~4', 'Egypt~2', 'Italy~2', 'Japan~2', 'Poland~2', 'South Korea~2', 'United Kingdom~2']"
30,67,"['2024~13', '2023~11', '2022~10', '2021~9', '2020~14', '2019~7', '2018~3']","['Agricultural and Biological Sciences~56', 'Biochemistry, Genetics and Molecular Biology~17', 'Social Sciences~7', 'Immunology and Microbiology~5', 'Medicine~5', 'Chemistry~4', 'Environmental Science~4', 'Health Professions~4', 'Engineering~3', 'Pharmacology, Toxicology and Pharmaceutics~3']","['Thailand~53', 'Japan~9', 'India~7', 'United States~6', 'Austria~2', 'Bangladesh~2', 'China~2', 'Indonesia~2', 'Philippines~2', 'United Kingdom~2']"
31,67,"['2024~5', '2023~6', '2022~11', '2021~12', '2020~19', '2019~14']","['Agricultural and Biological Sciences~61', 'Biochemistry, Genetics and Molecular Biology~12', 'Environmental Science~11', 'Multidisciplinary~4', 'Medicine~3', 'Arts and Humanities~2', 'Chemistry~2', 'Earth and Planetary Sciences~2', 'Energy~2', 'Mathematics~2']","['Germany~32', 'United States~32', 'China~20', 'Brazil~16', 'Thailand~16', 'Spain~12', 'Belgium~11', 'Colombia~11', 'United Kingdom~10', 'India~9']"
