order,cited_count,year,subject,country
378,13,"['2024~1', '2023~2', '2022~2', '2020~4', '2019~4']","['Agricultural and Biological Sciences~7', 'Immunology and Microbiology~3', 'Medicine~3', 'Multidisciplinary~3', 'Biochemistry, Genetics and Molecular Biology~1', 'Chemical Engineering~1', 'Chemistry~1', 'Mathematics~1']","['Thailand~5', 'India~3', 'Brazil~1', 'Cambodia~1', 'China~1', 'France~1', 'Indonesia~1', 'Malaysia~1', 'South Africa~1', 'Spain~1']"
379,13,"['2024~2', '2023~1', '2022~6', '2021~2', '2020~2']","['Medicine~7', 'Veterinary~5', 'Immunology and Microbiology~3', 'Agricultural and Biological Sciences~2', 'Biochemistry, Genetics and Molecular Biology~2', 'Chemistry~1', 'Environmental Science~1']","['United States~6', 'Zimbabwe~3', 'Ethiopia~2', 'France~2', 'Mozambique~2', 'Thailand~2', 'United Kingdom~2', 'Botswana~1', 'Canada~1', 'China~1']"
380,13,"['2024~4', '2023~2', '2022~2', '2021~2', '2020~2', '2019~1']","['Engineering~12', 'Computer Science~7', 'Energy~5', 'Mathematics~4', 'Business, Management and Accounting~1', 'Decision Sciences~1', 'Materials Science~1', 'Medicine~1', 'Physics and Astronomy~1', 'Social Sciences~1']","['India~6', 'Norway~2', 'Australia~1', 'China~1', 'Finland~1', 'Hong Kong~1', 'Iran~1', 'Latvia~1', 'Slovakia~1', 'Thailand~1']"
381,13,"['2024~1', '2023~3', '2022~5', '2021~2', '2019~2']","['Chemistry~10', 'Biochemistry, Genetics and Molecular Biology~2', 'Environmental Science~2', 'Chemical Engineering~1', 'Multidisciplinary~1', 'Pharmacology, Toxicology and Pharmaceutics~1']","['China~8', 'Japan~2', 'Argentina~1', 'Australia~1', 'Turkey~1', 'United Kingdom~1', 'United States~1']"
382,13,"['2024~2', '2023~5', '2022~4', '2021~1', '2020~1']","['Agricultural and Biological Sciences~9', 'Biochemistry, Genetics and Molecular Biology~4', 'Chemistry~3', 'Environmental Science~2', 'Materials Science~2', 'Earth and Planetary Sciences~1', 'Energy~1', 'Health Professions~1', 'Immunology and Microbiology~1', 'Medicine~1']","['China~3', 'India~2', 'Iraq~2', 'Pakistan~2', 'Poland~2', 'Turkey~2', 'Afghanistan~1', 'Azerbaijan~1', 'Brazil~1', 'Denmark~1']"
383,13,"['2024~1', '2023~5', '2022~1', '2021~2', '2020~1', '2019~3']","['Chemistry~13', 'Chemical Engineering~5', 'Biochemistry, Genetics and Molecular Biology~4', 'Materials Science~3', 'Pharmacology, Toxicology and Pharmaceutics~2']","['China~10', 'Poland~1', 'Taiwan~1', 'Thailand~1']"
384,13,"['2024~1', '2023~5', '2022~5', '2021~2']","['Social Sciences~9', 'Business, Management and Accounting~2', 'Arts and Humanities~1', 'Computer Science~1', 'Mathematics~1', 'Medicine~1']","['Malaysia~5', 'Indonesia~2', 'Spain~2', 'Cambodia~1', 'Hong Kong~1', 'Hungary~1', 'Palestine~1', 'Philippines~1']"
385,13,"['2024~2', '2023~1', '2022~3', '2021~1', '2020~6']","['Materials Science~11', 'Physics and Astronomy~9', 'Engineering~6', 'Energy~4', 'Chemical Engineering~3', 'Chemistry~3', 'Agricultural and Biological Sciences~2', 'Computer Science~2', 'Environmental Science~1', 'Pharmacology, Toxicology and Pharmaceutics~1']","['Thailand~8', 'Brazil~1', 'China~1', 'Egypt~1', 'Germany~1', 'India~1', 'Malaysia~1']"
386,13,"['2024~1', '2023~5', '2022~3', '2021~2', '2020~1', '2019~1']","['Agricultural and Biological Sciences~8', 'Veterinary~4', 'Chemistry~3', 'Biochemistry, Genetics and Molecular Biology~1', 'Materials Science~1']","['Brazil~3', 'China~3', 'South Korea~3', 'United States~2', 'Denmark~1', 'Saudi Arabia~1', 'Spain~1', 'Sweden~1']"
387,13,"['2024~3', '2023~5', '2022~2', '2021~1', '2020~2']","['Agricultural and Biological Sciences~11', 'Engineering~3', 'Pharmacology, Toxicology and Pharmaceutics~3', 'Biochemistry, Genetics and Molecular Biology~2', 'Chemistry~1', 'Environmental Science~1', 'Immunology and Microbiology~1', 'Nursing~1']","['China~7', 'Iran~2', 'Brazil~1', 'Egypt~1', 'India~1', 'Poland~1']"
388,13,"['2024~1', '2023~4', '2022~3', '2021~2', '2020~1', '2019~1', '2018~1']","['Agricultural and Biological Sciences~8', 'Engineering~5', 'Chemical Engineering~4', 'Biochemistry, Genetics and Molecular Biology~3', 'Materials Science~2', 'Chemistry~1', 'Computer Science~1', 'Immunology and Microbiology~1', 'Medicine~1', 'Nursing~1']","['China~2', 'India~2', 'United States~2', 'Australia~1', 'Canada~1', 'Chile~1', ""Cote d'Ivoire~1"", 'Greece~1', 'Iran~1', 'Japan~1']"
389,13,"['2024~2', '2023~2', '2022~2', '2021~2', '2020~2', '2019~3']","['Biochemistry, Genetics and Molecular Biology~9', 'Agricultural and Biological Sciences~5', 'Immunology and Microbiology~4', 'Chemical Engineering~3', 'Engineering~3', 'Environmental Science~3', 'Medicine~2', 'Energy~1', 'Materials Science~1']","['China~4', 'Thailand~4', 'India~2', 'Austria~1', 'Brazil~1', 'Canada~1', 'Pakistan~1', 'Russian Federation~1', 'United States~1']"
390,13,"['2024~4', '2023~1', '2022~3', '2021~3', '2020~1', '2019~1']","['Agricultural and Biological Sciences~12', 'Biochemistry, Genetics and Molecular Biology~2', 'Environmental Science~2', 'Engineering~1', 'Immunology and Microbiology~1', 'Mathematics~1', 'Medicine~1', 'Multidisciplinary~1']","['Thailand~7', 'Indonesia~3', 'Germany~2', 'United States~2', 'China~1', 'Malaysia~1', 'Myanmar~1', 'Panama~1', 'Russian Federation~1', 'United Kingdom~1']"
391,13,"['2024~3', '2023~1', '2022~3', '2021~1', '2020~4', '2019~1']","['Agricultural and Biological Sciences~8', 'Biochemistry, Genetics and Molecular Biology~4', 'Medicine~3', 'Nursing~3', 'Veterinary~2', 'Chemical Engineering~1', 'Immunology and Microbiology~1', 'Multidisciplinary~1']","['Germany~3', 'Netherlands~3', 'Thailand~3', 'Canada~2', 'China~2', 'Austria~1', 'France~1', 'Norway~1', 'Switzerland~1']"
392,13,"['2021~3', '2020~7', '2019~3']","['Chemistry~11', 'Chemical Engineering~8', 'Energy~2', 'Environmental Science~2', 'Materials Science~2', 'Biochemistry, Genetics and Molecular Biology~1', 'Earth and Planetary Sciences~1', 'Physics and Astronomy~1']","['China~9', 'Czech Republic~1', 'Egypt~1', 'Saudi Arabia~1', 'Slovenia~1', 'Thailand~1', 'United States~1']"
393,13,"['2023~5', '2022~4', '2021~1', '2020~3']","['Agricultural and Biological Sciences~8', 'Biochemistry, Genetics and Molecular Biology~6', 'Chemical Engineering~1', 'Engineering~1', 'Environmental Science~1', 'Immunology and Microbiology~1', 'Medicine~1']","['Canada~5', 'China~4', 'Spain~3', 'Argentina~1', 'India~1', 'Netherlands~1', 'Portugal~1', 'South Korea~1', 'United Kingdom~1', 'United States~1']"
394,13,"['2024~3', '2023~3', '2022~3', '2021~2', '2020~1', '2019~1']","['Agricultural and Biological Sciences~12', 'Biochemistry, Genetics and Molecular Biology~3', 'Chemical Engineering~2', 'Engineering~2', 'Chemistry~1', 'Environmental Science~1', 'Immunology and Microbiology~1']","['China~10', 'Thailand~2', 'Chile~1', 'Denmark~1', 'Malaysia~1', 'Pakistan~1', 'Saudi Arabia~1', 'Spain~1']"
395,13,"['2024~2', '2023~1', '2022~4', '2021~3', '2018~3']","['Agricultural and Biological Sciences~9', 'Immunology and Microbiology~6', 'Environmental Science~5', 'Medicine~4', 'Veterinary~3', 'Biochemistry, Genetics and Molecular Biology~2', 'Multidisciplinary~1']","['Italy~5', 'France~3', 'Netherlands~3', 'United States~3', 'Canada~2', 'Czech Republic~2', 'Senegal~2', 'Sudan~2', 'Austria~1', 'Belgium~1']"
396,13,"['2023~2', '2022~2', '2021~4', '2020~4', '2019~1']","['Agricultural and Biological Sciences~10', 'Immunology and Microbiology~4', 'Environmental Science~2', 'Medicine~2', 'Earth and Planetary Sciences~1', 'Multidisciplinary~1', 'Veterinary~1']","['Thailand~7', 'Canada~2', 'United States~2', 'Germany~1', 'Malaysia~1', 'Mexico~1', 'Russian Federation~1', 'Spain~1']"
397,13,"['2024~2', '2023~4', '2022~3', '2021~1', '2020~1', '2019~2']","['Engineering~10', 'Materials Science~6', 'Agricultural and Biological Sciences~1', 'Computer Science~1', 'Earth and Planetary Sciences~1', 'Environmental Science~1', 'Multidisciplinary~1']","['Thailand~4', 'India~2', 'Lebanon~2', 'Pakistan~2', 'Saudi Arabia~2', 'Algeria~1', 'Brazil~1', 'Kenya~1', 'Malaysia~1', 'Nigeria~1']"
398,13,"['2024~2', '2023~4', '2022~3', '2021~1', '2020~1', '2019~2']","['Agricultural and Biological Sciences~11', 'Biochemistry, Genetics and Molecular Biology~8', 'Immunology and Microbiology~3', 'Environmental Science~2', 'Veterinary~2', 'Chemical Engineering~1', 'Chemistry~1', 'Economics, Econometrics and Finance~1', 'Energy~1', 'Neuroscience~1']","['Thailand~8', 'China~4', 'Austria~1', 'India~1', 'Poland~1']"
399,12,"['2024~3', '2022~4', '2021~1', '2020~3', '2018~1']","['Agricultural and Biological Sciences~10', 'Biochemistry, Genetics and Molecular Biology~4', 'Engineering~1', 'Environmental Science~1', 'Medicine~1', 'Multidisciplinary~1', 'Veterinary~1']","['China~6', 'Australia~2', 'South Korea~2', 'Germany~1', 'India~1', 'Thailand~1', 'United States~1']"
400,12,"['2023~2', '2022~3', '2021~2', '2020~4', '2019~1']","['Agricultural and Biological Sciences~10', 'Immunology and Microbiology~4', 'Social Sciences~3', 'Biochemistry, Genetics and Molecular Biology~2', 'Environmental Science~2', 'Health Professions~2', 'Nursing~2', 'Chemistry~1', 'Computer Science~1', 'Energy~1']","['United States~6', 'United Kingdom~3', 'China~1', 'New Zealand~1', 'Romania~1', 'South Korea~1']"
401,12,"['2024~2', '2023~4', '2022~1', '2021~1', '2020~3', '2019~1']","['Biochemistry, Genetics and Molecular Biology~7', 'Medicine~7', 'Pharmacology, Toxicology and Pharmaceutics~6', 'Chemistry~4', 'Engineering~1', 'Immunology and Microbiology~1', 'Multidisciplinary~1']","['Thailand~4', 'India~3', 'Germany~2', 'United States~2', 'China~1', 'France~1', 'Indonesia~1', 'Luxembourg~1', 'Malaysia~1', 'Pakistan~1']"
402,12,"['2023~4', '2022~2', '2021~3', '2020~2', '2019~1']","['Immunology and Microbiology~8', 'Biochemistry, Genetics and Molecular Biology~7', 'Agricultural and Biological Sciences~3', 'Environmental Science~3', 'Chemistry~2', 'Medicine~2', 'Chemical Engineering~1', 'Earth and Planetary Sciences~1', 'Energy~1', 'Neuroscience~1']","['China~3', 'Japan~3', 'Thailand~3', 'Canada~1', 'France~1', 'Germany~1', 'Greece~1', 'Indonesia~1', 'Malaysia~1', 'Portugal~1']"
403,12,"['2024~1', '2023~2', '2022~4', '2020~1', '2019~4']","['Chemistry~8', 'Biochemistry, Genetics and Molecular Biology~3', 'Chemical Engineering~3', 'Materials Science~3', 'Engineering~1', 'Medicine~1', 'Pharmacology, Toxicology and Pharmaceutics~1', 'Physics and Astronomy~1', 'Social Sciences~1']","['China~3', 'France~2', 'India~2', 'Hong Kong~1', 'Italy~1', 'Russian Federation~1', 'Taiwan~1', 'Thailand~1', 'Turkey~1', 'United States~1']"
404,12,"['2024~2', '2023~4', '2022~5', '2021~1']","['Agricultural and Biological Sciences~12', 'Biochemistry, Genetics and Molecular Biology~4', 'Engineering~2', 'Immunology and Microbiology~2', 'Energy~1', 'Health Professions~1', 'Medicine~1', 'Nursing~1', 'Social Sciences~1']","['China~10', 'Germany~1', 'India~1', 'Indonesia~1', 'Iran~1', 'Italy~1', 'Mexico~1', 'Poland~1', 'Turkey~1']"
405,12,"['2023~4', '2022~3', '2021~4', '2020~1']","['Medicine~7', 'Biochemistry, Genetics and Molecular Biology~5', 'Agricultural and Biological Sciences~2', 'Health Professions~2', 'Immunology and Microbiology~2', 'Physics and Astronomy~2', 'Chemical Engineering~1', 'Chemistry~1', 'Computer Science~1', 'Environmental Science~1']","['China~3', 'Belgium~2', 'Japan~2', 'Russian Federation~2', 'Thailand~2', 'United States~2', 'France~1', 'Kazakhstan~1', 'Netherlands~1', 'Portugal~1']"
406,12,"['2024~2', '2022~5', '2021~5']","['Environmental Science~10', 'Engineering~3', 'Biochemistry, Genetics and Molecular Biology~1', 'Chemical Engineering~1', 'Chemistry~1', 'Medicine~1', 'Multidisciplinary~1', 'Pharmacology, Toxicology and Pharmaceutics~1']","['Thailand~5', 'China~2', 'Japan~2', 'Nepal~2', 'Poland~2', 'Brazil~1', 'United Kingdom~1', 'United States~1']"
407,12,"['2023~4', '2022~3', '2021~2', '2020~2', '2019~1']","['Biochemistry, Genetics and Molecular Biology~6', 'Computer Science~5', 'Chemistry~4', 'Chemical Engineering~3', 'Materials Science~2', 'Multidisciplinary~2', 'Mathematics~1', 'Neuroscience~1', 'Pharmacology, Toxicology and Pharmaceutics~1', 'Physics and Astronomy~1']","['Thailand~5', 'China~4', 'Spain~2', 'United States~2', 'Austria~1', 'Brazil~1', 'Netherlands~1', 'United Arab Emirates~1', 'United Kingdom~1']"
408,12,"['2024~4', '2021~3', '2020~5']","['Materials Science~12', 'Engineering~8', 'Physics and Astronomy~6', 'Chemistry~1']",[]
409,12,"['2024~2', '2023~2', '2022~1', '2021~3', '2020~2', '2019~1', '2018~1']","['Immunology and Microbiology~10', 'Medicine~9', 'Agricultural and Biological Sciences~5', 'Veterinary~3', 'Environmental Science~1']","['Australia~5', 'Thailand~5', 'Czech Republic~2', 'United Kingdom~2', 'United States~2', 'China~1', 'Ireland~1', 'New Zealand~1', 'Spain~1']"
410,12,"['2024~3', '2023~3', '2022~2', '2021~1', '2020~1', '2019~2']","['Computer Science~11', 'Engineering~6', 'Mathematics~4', 'Decision Sciences~3', 'Materials Science~2', 'Business, Management and Accounting~1']","['Saudi Arabia~5', 'Chile~2', 'China~2', 'Thailand~2', 'United Kingdom~2', 'Egypt~1', 'Germany~1', 'Malaysia~1', 'Spain~1', 'Sudan~1']"
411,12,"['2023~4', '2022~3', '2021~2', '2020~1', '2019~2']","['Agricultural and Biological Sciences~8', 'Biochemistry, Genetics and Molecular Biology~3', 'Environmental Science~2', 'Chemistry~1', 'Energy~1', 'Engineering~1', 'Multidisciplinary~1']","['China~8', 'India~2', 'Brazil~1', 'France~1', 'Japan~1', 'Spain~1', 'Thailand~1', 'United Kingdom~1']"
412,12,"['2024~3', '2023~1', '2022~1', '2021~2', '2020~3', '2019~1', '2018~1']","['Chemistry~10', 'Chemical Engineering~6', 'Materials Science~3', 'Engineering~1', 'Environmental Science~1', 'Physics and Astronomy~1']","['United States~5', 'China~4', 'Canada~2', 'Italy~2', 'Thailand~2', 'Czech Republic~1', 'France~1']"
413,12,"['2024~3', '2023~1', '2022~4', '2021~2', '2020~1', '2019~1']","['Materials Science~12', 'Engineering~7', 'Chemistry~3', 'Physics and Astronomy~2']",[]
414,12,"['2024~2', '2023~2', '2022~4', '2021~1', '2020~2', '2019~1']","['Computer Science~10', 'Engineering~8', 'Physics and Astronomy~2', 'Biochemistry, Genetics and Molecular Biology~1', 'Chemistry~1', 'Earth and Planetary Sciences~1', 'Mathematics~1']","['China~8', 'United Kingdom~3', 'South Korea~2', 'United States~2', 'Canada~1', 'Singapore~1', 'Thailand~1']"
415,12,"['2024~1', '2023~1', '2022~2', '2021~2', '2020~2', '2019~4']","['Chemistry~5', 'Pharmacology, Toxicology and Pharmaceutics~4', 'Biochemistry, Genetics and Molecular Biology~2', 'Chemical Engineering~2', 'Immunology and Microbiology~2', 'Medicine~2', 'Energy~1', 'Environmental Science~1']","['China~4', 'Japan~4', 'Thailand~2', 'Australia~1', 'Brazil~1', 'Germany~1', 'Iran~1', 'United States~1']"
416,12,"['2024~2', '2023~2', '2022~1', '2021~2', '2020~1', '2019~4']","['Materials Science~10', 'Engineering~6', 'Chemistry~5', 'Physics and Astronomy~5', 'Energy~4', 'Chemical Engineering~3', 'Environmental Science~1']","['Thailand~9', 'China~5', 'Brazil~1', 'France~1', 'Germany~1', 'Israel~1']"
417,12,"['2024~2', '2023~3', '2022~3', '2021~1', '2020~1', '2019~1', '2018~1']","['Chemistry~6', 'Materials Science~6', 'Chemical Engineering~4', 'Physics and Astronomy~3', 'Engineering~2', 'Energy~1']","['China~3', 'Portugal~2', 'Thailand~2', 'Belgium~1', 'Brazil~1', 'Egypt~1', 'Ethiopia~1', 'India~1', 'Italy~1', 'Japan~1']"
418,12,"['2023~1', '2022~1', '2021~2', '2020~3', '2019~3', '2018~2']","['Immunology and Microbiology~9', 'Biochemistry, Genetics and Molecular Biology~7', 'Chemical Engineering~3', 'Engineering~1', 'Medicine~1', 'Multidisciplinary~1']","['France~3', 'Japan~3', 'Philippines~3', 'Brazil~2', 'Bulgaria~2', 'Thailand~2', 'United Kingdom~2', 'Germany~1', 'Ireland~1', 'Netherlands~1']"
419,12,"['2024~2', '2023~2', '2022~3', '2021~2', '2020~2', '2019~1']","['Environmental Science~5', 'Biochemistry, Genetics and Molecular Biology~4', 'Engineering~4', 'Agricultural and Biological Sciences~3', 'Chemical Engineering~3', 'Chemistry~3', 'Materials Science~2', 'Economics, Econometrics and Finance~1', 'Immunology and Microbiology~1']","['Austria~4', 'India~3', 'United States~2', 'China~1', 'Czech Republic~1', 'Ireland~1', 'Malaysia~1', 'Netherlands~1', 'Portugal~1', 'Spain~1']"
420,12,"['2024~2', '2023~2', '2022~5', '2021~1', '2019~2']","['Agricultural and Biological Sciences~11', 'Environmental Science~3', 'Social Sciences~1']","['Thailand~5', 'Austria~2', 'Brazil~2', 'Chile~2', 'Iran~2', 'Italy~2', 'Poland~2', 'Romania~2', 'Australia~1', 'Canada~1']"
421,12,"['2024~2', '2023~3', '2022~1', '2021~3', '2020~1', '2019~2']","['Agricultural and Biological Sciences~5', 'Chemistry~4', 'Environmental Science~4', 'Medicine~3', 'Biochemistry, Genetics and Molecular Biology~2', 'Engineering~1', 'Immunology and Microbiology~1', 'Pharmacology, Toxicology and Pharmaceutics~1']","['Iraq~3', 'Denmark~2', 'France~2', 'Argentina~1', 'Brazil~1', 'China~1', 'Czech Republic~1', 'India~1', 'Malaysia~1', 'Thailand~1']"
422,12,"['2024~3', '2023~1', '2022~3', '2021~2', '2020~3']","['Business, Management and Accounting~5', 'Environmental Science~4', 'Social Sciences~4', 'Computer Science~2', 'Energy~2', 'Engineering~2', 'Multidisciplinary~2', 'Decision Sciences~1', 'Earth and Planetary Sciences~1', 'Economics, Econometrics and Finance~1']","['Thailand~5', 'Indonesia~2', 'Canada~1', 'China~1', 'Netherlands~1', 'Taiwan~1', 'United Kingdom~1', 'United States~1', 'Viet Nam~1']"
423,12,"['2024~1', '2023~2', '2022~4', '2020~2', '2019~3']","['Materials Science~10', 'Engineering~9', 'Physics and Astronomy~9', 'Chemistry~3', 'Chemical Engineering~2', 'Mathematics~1']","['Thailand~5', 'India~4', 'Egypt~2', 'Saudi Arabia~2', 'Pakistan~1']"
424,12,"['2024~1', '2023~2', '2022~2', '2021~1', '2020~1', '2019~4', '2018~1']","['Materials Science~9', 'Chemistry~7', 'Engineering~4', 'Physics and Astronomy~3', 'Biochemistry, Genetics and Molecular Biology~2', 'Chemical Engineering~1', 'Immunology and Microbiology~1', 'Pharmacology, Toxicology and Pharmaceutics~1']","['Thailand~4', 'China~2', 'Denmark~2', 'Iran~2', 'Poland~2', 'United States~2', 'France~1', 'India~1', 'Italy~1', 'Spain~1']"
425,12,"['2024~1', '2023~5', '2022~1', '2021~4', '2020~1']","['Agricultural and Biological Sciences~8', 'Environmental Science~5', 'Medicine~3', 'Biochemistry, Genetics and Molecular Biology~2', 'Chemistry~2', 'Pharmacology, Toxicology and Pharmaceutics~1', 'Veterinary~1']","['Iran~4', 'Brazil~3', 'Egypt~3', 'China~2', 'Jordan~2', 'Saudi Arabia~2', 'Czech Republic~1', 'Italy~1', 'Japan~1', 'Viet Nam~1']"
426,12,"['2024~1', '2023~2', '2022~3', '2021~3', '2020~1', '2019~2']","['Agricultural and Biological Sciences~9', 'Chemistry~4', 'Environmental Science~2', 'Physics and Astronomy~2', 'Biochemistry, Genetics and Molecular Biology~1', 'Chemical Engineering~1', 'Earth and Planetary Sciences~1', 'Engineering~1', 'Medicine~1']","['Thailand~5', 'China~4', 'Indonesia~2', 'Brunei Darussalam~1', 'Germany~1', 'India~1', 'Malaysia~1', 'Undefined~1']"
427,12,"['2024~3', '2023~1', '2022~2', '2021~1', '2020~2', '2019~3']","['Social Sciences~11', 'Engineering~2', 'Biochemistry, Genetics and Molecular Biology~1', 'Immunology and Microbiology~1', 'Pharmacology, Toxicology and Pharmaceutics~1', 'Psychology~1']","['Thailand~4', 'Australia~3', 'South Korea~3', 'Indonesia~2', 'Japan~1', 'Malaysia~1', 'Myanmar~1', 'New Zealand~1', 'United Arab Emirates~1', 'United States~1']"
428,12,"['2024~1', '2023~4', '2022~1', '2021~4', '2020~2']","['Agricultural and Biological Sciences~12', 'Environmental Science~4', 'Chemical Engineering~2', 'Computer Science~2', 'Earth and Planetary Sciences~1']","['Malaysia~10', 'Singapore~2', 'Thailand~2', 'Australia~1', 'United States~1']"
429,12,"['2024~1', '2023~3', '2022~2', '2020~4', '2019~2']","['Agricultural and Biological Sciences~10', 'Biochemistry, Genetics and Molecular Biology~4', 'Veterinary~2', 'Environmental Science~1']",[]
430,12,"['2024~1', '2023~3', '2022~1', '2021~3', '2020~1', '2019~3']","['Computer Science~10', 'Engineering~10', 'Physics and Astronomy~3', 'Biochemistry, Genetics and Molecular Biology~2', 'Chemistry~2', 'Mathematics~2', 'Materials Science~1']","['China~7', 'Thailand~3', 'Iraq~1', 'Romania~1']"
431,12,"['2024~3', '2023~1', '2022~2', '2021~3', '2020~1', '2019~2']","['Immunology and Microbiology~7', 'Medicine~5', 'Agricultural and Biological Sciences~4', 'Veterinary~4', 'Biochemistry, Genetics and Molecular Biology~3', 'Environmental Science~1']","['China~3', 'France~3', 'Thailand~3', 'Malaysia~2', 'Singapore~2', 'United Kingdom~2', 'United States~2', 'Australia~1', 'Cambodia~1', 'Egypt~1']"
432,12,"['2024~3', '2023~1', '2021~3', '2020~4', '2019~1']","['Chemistry~8', 'Chemical Engineering~5', 'Materials Science~4', 'Physics and Astronomy~2', 'Engineering~1', 'Multidisciplinary~1']","['United Kingdom~5', 'Italy~3', 'United States~3', 'Japan~2', 'Australia~1', 'Brazil~1', 'China~1', 'Egypt~1', 'India~1', 'Iran~1']"
433,12,"['2024~1', '2023~1', '2022~6', '2021~3', '2019~1']","['Materials Science~7', 'Engineering~5', 'Physics and Astronomy~4', 'Environmental Science~2', 'Business, Management and Accounting~1', 'Chemistry~1', 'Economics, Econometrics and Finance~1']","['Italy~6', 'Cameroon~5', 'Canada~3', 'China~2', 'Russian Federation~2', 'United States~2', 'France~1', 'India~1']"
434,12,"['2024~3', '2023~1', '2022~2', '2021~3', '2020~3']","['Agricultural and Biological Sciences~8', 'Environmental Science~4', 'Biochemistry, Genetics and Molecular Biology~2', 'Engineering~2', 'Veterinary~2', 'Business, Management and Accounting~1', 'Computer Science~1', 'Immunology and Microbiology~1', 'Mathematics~1', 'Multidisciplinary~1']","['Viet Nam~6', 'Thailand~4', 'Japan~3', 'China~2', 'Bangladesh~1', 'Bosnia and Herzegovina~1', 'Chile~1', 'Czech Republic~1', 'India~1', 'Indonesia~1']"
435,12,"['2024~2', '2023~3', '2022~1', '2021~2', '2020~1', '2019~3']","['Agricultural and Biological Sciences~12', 'Environmental Science~4', 'Social Sciences~1']","['Croatia~1', 'Indonesia~1', 'Iran~1']"
436,12,"['2024~4', '2023~1', '2022~2', '2021~2', '2020~2', '2018~1']","['Materials Science~10', 'Engineering~5', 'Chemistry~3', 'Physics and Astronomy~3', 'Chemical Engineering~2', 'Energy~2', 'Biochemistry, Genetics and Molecular Biology~1', 'Pharmacology, Toxicology and Pharmaceutics~1']","['China~4', 'Turkey~2', 'Australia~1', 'Colombia~1', 'India~1', 'Japan~1', 'Poland~1', 'Spain~1', 'Thailand~1', 'United Kingdom~1']"
437,12,"['2024~1', '2023~2', '2022~1', '2021~4', '2020~4']","['Agricultural and Biological Sciences~5', 'Medicine~5', 'Immunology and Microbiology~4', 'Veterinary~3', 'Biochemistry, Genetics and Molecular Biology~2', 'Engineering~1', 'Environmental Science~1', 'Nursing~1', 'Pharmacology, Toxicology and Pharmaceutics~1']","['Bangladesh~2', 'Thailand~2', 'United States~2', 'Argentina~1', 'China~1', 'India~1', 'Indonesia~1', 'Malaysia~1', 'Mexico~1', 'Nigeria~1']"
438,12,"['2024~3', '2023~2', '2022~1', '2021~3', '2020~3']","['Biochemistry, Genetics and Molecular Biology~7', 'Immunology and Microbiology~6', 'Medicine~4', 'Pharmacology, Toxicology and Pharmaceutics~3', 'Agricultural and Biological Sciences~2', 'Chemistry~2', 'Chemical Engineering~1', 'Multidisciplinary~1']","['Egypt~4', 'India~2', 'China~1', 'Indonesia~1', 'Peru~1', 'Poland~1', 'Portugal~1', 'Saudi Arabia~1', 'South Africa~1', 'South Korea~1']"
439,12,"['2024~2', '2023~3', '2022~2', '2021~2', '2020~1', '2019~1', '2018~1']","['Computer Science~7', 'Decision Sciences~7', 'Business, Management and Accounting~5', 'Social Sciences~5', 'Engineering~2', 'Mathematics~1', 'Psychology~1']","['Australia~3', 'India~2', 'South Africa~2', 'Croatia~1', 'Egypt~1', 'Kenya~1', 'Netherlands~1', 'Norway~1', 'Saudi Arabia~1', 'Slovenia~1']"
440,12,"['2024~4', '2023~3', '2022~3', '2021~1', '2020~1']","['Environmental Science~9', 'Agricultural and Biological Sciences~6', 'Earth and Planetary Sciences~3', 'Biochemistry, Genetics and Molecular Biology~2', 'Social Sciences~2', 'Chemistry~1', 'Economics, Econometrics and Finance~1', 'Engineering~1']","['Thailand~10', 'China~3', 'Nepal~2', 'Nigeria~2', 'Australia~1', 'Belgium~1', 'Indonesia~1', 'Iran~1', 'Japan~1', 'Malaysia~1']"
441,12,"['2024~1', '2023~1', '2022~7', '2021~2', '2019~1']","['Materials Science~6', 'Engineering~4', 'Environmental Science~3', 'Physics and Astronomy~3', 'Biochemistry, Genetics and Molecular Biology~2', 'Chemical Engineering~2', 'Chemistry~2', 'Business, Management and Accounting~1', 'Energy~1', 'Medicine~1']","['Iran~4', 'Canada~1', 'Egypt~1', 'Indonesia~1', 'Iraq~1', 'Malaysia~1', 'Poland~1', 'Saudi Arabia~1', 'Slovakia~1', 'South Korea~1']"
442,11,"['2024~2', '2023~1', '2022~3', '2021~3', '2019~1', '2018~1']","['Immunology and Microbiology~7', 'Medicine~4', 'Veterinary~4', 'Biochemistry, Genetics and Molecular Biology~2', 'Agricultural and Biological Sciences~1', 'Engineering~1', 'Pharmacology, Toxicology and Pharmaceutics~1']","['China~7', 'Hungary~1', 'Italy~1', 'Philippines~1', 'Taiwan~1', 'Thailand~1']"
443,11,"['2024~1', '2023~2', '2022~2', '2021~3', '2020~3']","['Chemistry~4', 'Agricultural and Biological Sciences~3', 'Biochemistry, Genetics and Molecular Biology~3', 'Materials Science~3', 'Chemical Engineering~2', 'Environmental Science~2', 'Engineering~1', 'Medicine~1', 'Physics and Astronomy~1']","['Canada~2', 'China~2', 'Japan~2', 'Thailand~2', 'Argentina~1', 'Bangladesh~1', 'Brazil~1', 'Czech Republic~1', 'India~1', 'Indonesia~1']"
