filename,scopus_link,citedby_link
201800554.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85049894907&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85049894907&origin=inward
201800555.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85049860642&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85049860642&origin=inward
201800556.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85049844332&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85049844332&origin=inward
201800557.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85049825501&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85049825501&origin=inward
201800558.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85049633866&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85049633866&origin=inward
201800559.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85049600322&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85049600322&origin=inward
201800560.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85049314658&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85049314658&origin=inward
201800561.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85049187656&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85049187656&origin=inward
201800562.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85048950967&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85048950967&origin=inward
201800563.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85048664973&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85048664973&origin=inward
201800564.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85048252864&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85048252864&origin=inward
201800565.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85048179306&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85048179306&origin=inward
201800566.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85048162860&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85048162860&origin=inward
201800567.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85047660964&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85047660964&origin=inward
201800568.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85047113263&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85047113263&origin=inward
201800569.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85046530585&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85046530585&origin=inward
201800570.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85046428478&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85046428478&origin=inward
201800571.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85046030343&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85046030343&origin=inward
201800572.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85046007648&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85046007648&origin=inward
