order,citations_count,title,cities_link,main_link
1022,1,Consistent Sparse Representation based on Discriminative Dictionary Learning for Face Recognition,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85070933416,https://www.scopus.com/record/display.uri?eid=2-s2.0-85070933416&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=1021
1023,1,A Cloud Removal Algorithm Based on a Level-Set Method: Case Study Multitemporal Landsat 8 Oli Images,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85070911241,https://www.scopus.com/record/display.uri?eid=2-s2.0-85070911241&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=1022
1024,1,An Adaptive Descriptor for Functional Correspondence between Non-Rigid 3D Shapes,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85070906017,https://www.scopus.com/record/display.uri?eid=2-s2.0-85070906017&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=1023
1025,1,Assessment on a Talking Device of Weight and Height for the Visually Impaired Students,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85070878784,https://www.scopus.com/record/display.uri?eid=2-s2.0-85070878784&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=1024
1026,1,Rate-Maximizing User Selection for Downlink NOMA with Effect of Log-Normal Shadowing,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85070874742,https://www.scopus.com/record/display.uri?eid=2-s2.0-85070874742&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=1025
1027,1,"Efficacy of bacillus siamensis strain in managing sheath blight, enhancing grain yields and decomposing rice stubble and straw",https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85065246567,https://www.scopus.com/record/display.uri?eid=2-s2.0-85065246567&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=1026
1028,1,Small-scale single stage downdraft biomass gasifier with shaking grate mechanism,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85058054432,https://www.scopus.com/record/display.uri?eid=2-s2.0-85058054432&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=1027
1029,1,Non-invasive genotyping with a massively parallel sequencing panel for the detection of SNPs in HPA-axis genes,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85055616179,https://www.scopus.com/record/display.uri?eid=2-s2.0-85055616179&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=1028
1030,1,An integrated microring circuit design for optoelectronic transformer applications,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85055255059,https://www.scopus.com/record/display.uri?eid=2-s2.0-85055255059&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=1029
1031,1,Novel Kerr-Vernier effects within the on-chip Si-ChG microring circuits,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85053049158,https://www.scopus.com/record/display.uri?eid=2-s2.0-85053049158&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=1030
